attempt_id	circuit	stage	run_id	run_id_source	mode	wall_s	user_s	system_s	rss_kb	exit	source_log	source_log_sha256	config_key	config_key_source	retry_index	parse_status	duplicate_run_id	ambiguity_reason
attempt_bf398938d09b8f3f51c3	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h86_m92	filename	M	9.690	6.03	1.35	363776	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h86_m92.driver.log	ad6b80d7597572d026e14db26fce3ab3c616b81bc43c7407705d8cbbb73d38da	M_b20_cov95v2_HMF_refine_h86_m92	run_id	0	PASS		
attempt_383aceec37e8b3ee928c	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h86_m94	filename	M	9.950	6.21	1.36	362552	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h86_m94.driver.log	5a2a7f36d5ba676c46faa1773cd6fe89b7f8d31c8ce1addb82a81ca139d09f90	M_b20_cov95v2_HMF_refine_h86_m94	run_id	0	PASS		
attempt_b547b72c353db00d11d9	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h86_m96	filename	M	9.930	6.07	1.45	363124	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h86_m96.driver.log	1b4b39d62e143b46c210861f5746db9002c2546176d7d7d4075fa6e0e3dfe63c	M_b20_cov95v2_HMF_refine_h86_m96	run_id	0	PASS		
attempt_71a576a5b9fcb754c8e4	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h86_m98	filename	M	9.580	5.99	1.33	363144	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h86_m98.driver.log	e4d77d60dac63217e16a80537479884e2d0ff716bca9e06e939a46df58903fb4	M_b20_cov95v2_HMF_refine_h86_m98	run_id	0	PASS		
attempt_f4327ff86394abfc6af6	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h87_m95	filename	M	9.590	5.75	1.47	363292	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h87_m95.driver.log	ae212d50e87b9ef81700cc9d525ab10d5d0f0e4a6f5708fb493d268c6c8cf8ea	M_b20_cov95v2_HMF_refine_h87_m95	run_id	0	PASS		
attempt_b44646593e628563b0b3	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h87_m96	filename	M	9.620	5.72	1.44	363072	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h87_m96.driver.log	6308078071ccd3fce66a82be02139c50eed213f9e746199e0a126fd63548036b	M_b20_cov95v2_HMF_refine_h87_m96	run_id	0	PASS		
attempt_6dbfd2af1d465bb48f88	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h87_m97	filename	M	9.420	5.69	1.27	363576	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h87_m97.driver.log	c2d1c2e0f047e65b755f5cc948109763ab9c24f99343015cf7237367dce94f23	M_b20_cov95v2_HMF_refine_h87_m97	run_id	0	PASS		
attempt_376138027b9cec300184	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h88_m94	filename	M	9.620	5.86	1.29	363504	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h88_m94.driver.log	516b87dadcb6fa2c0ac4e2b736e2e5268744cfa54e32a12f2df4aeefb96593c0	M_b20_cov95v2_HMF_refine_h88_m94	run_id	0	PASS		
attempt_e99945e73ac1ad87ec68	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h88_m95	filename	M	9.540	5.79	1.35	364012	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h88_m95.driver.log	c0a5a766a58662cbe37387b07816521ab72fe0588eeac6690f9e14845631e82b	M_b20_cov95v2_HMF_refine_h88_m95	run_id	0	PASS		
attempt_8268ff96951180df8c89	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h88_m96	filename	M	9.940	5.96	1.40	363328	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h88_m96.driver.log	87aa5cafe0ce4e36797d396ae8b570407afd44315f7b4467393a6add1a0946ea	M_b20_cov95v2_HMF_refine_h88_m96	run_id	0	PASS		
attempt_af4cc597d550a8f7e096	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h89_m100	filename	M	10.060	6.23	1.46	362756	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h89_m100.driver.log	b419f2ec5e0d4c9da0dcfd36c8fbd34949b128a4febbb373b022423685082698	M_b20_cov95v2_HMF_refine_h89_m100	run_id	0	PASS		
attempt_7d8056af8ede43096338	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h89_m102	filename	M	10.300	6.82	1.53	363760	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h89_m102.driver.log	651099097a8171c8c2c8142f75247c75c24706a53c95adfd835cddfbc2fe0551	M_b20_cov95v2_HMF_refine_h89_m102	run_id	0	PASS		
attempt_2b4bd5d8ab159ad480ab	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h89_m105	filename	M	9.490	5.86	1.28	362996	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h89_m105.driver.log	f305dbddcafe3b8e8c4541e711b207ffbd708d0d86b44714ca641fed3ab62669	M_b20_cov95v2_HMF_refine_h89_m105	run_id	0	PASS		
attempt_e26a3c1b05a80b0ed22c	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h89_m106	filename	M	9.690	6.18	1.28	364744	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h89_m106.driver.log	5b19f0985b1ea0b07aedea5aba246e3f835538bb0f8c743022dbc313d88a3d64	M_b20_cov95v2_HMF_refine_h89_m106	run_id	0	PASS		
attempt_6107f59c2e9993ae4f3c	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h89_m112	filename	M	10.170	6.39	1.45	363628	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h89_m112.driver.log	76582fd0e2661a186918fdb817fcf9de4b225243721c44b0f8d5acc87345bf56	M_b20_cov95v2_HMF_refine_h89_m112	run_id	0	PASS		
attempt_f211719692e0ad6aa88b	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h89_m85	filename	M	9.520	5.95	1.25	362776	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h89_m85.driver.log	9d7e61d98741a3ba8ae283711a7e62ab5db1b54a63bfc49cca53a16c6dbc084a	M_b20_cov95v2_HMF_refine_h89_m85	run_id	0	PASS		
attempt_75a89916d226de1fa30d	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h89_m88	filename	M	9.680	5.75	1.37	362460	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h89_m88.driver.log	d58ef47c0c1b9e3b70a77ee393e749d2f042a6e3b439e59f3a94b9886e711f23	M_b20_cov95v2_HMF_refine_h89_m88	run_id	0	PASS		
attempt_01a9277b330b38278811	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h89_m90	filename	M	10.080	6.28	1.38	363232	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h89_m90.driver.log	1d21239f15264deec9e1d879ddf959e70e69471f7a51d22c2874651811e056c2	M_b20_cov95v2_HMF_refine_h89_m90	run_id	0	PASS		
attempt_c9c3820c6aaa13977b37	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h89_m92	filename	M	9.900	5.93	1.38	362828	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h89_m92.driver.log	9b1950a5e06cbfbd8b18d903813207de02dafad8643c5d5d058e96ba2db379a3	M_b20_cov95v2_HMF_refine_h89_m92	run_id	0	PASS		
attempt_d34f12f6ca2c83dad40f	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h89_m94	filename	M	9.730	5.96	1.29	363684	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h89_m94.driver.log	678bf9e3d8bb17ea19528a7e1c806a6e94bc30aad1104df402e0174ba2a41321	M_b20_cov95v2_HMF_refine_h89_m94	run_id	0	PASS		
attempt_cf025b5887cb1b81316a	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h89_m95	filename	M	10.040	6.21	1.25	362836	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h89_m95.driver.log	7ce24248ada5646be2177f0f93b76803e1aded2ab62a64d41a04750640563f19	M_b20_cov95v2_HMF_refine_h89_m95	run_id	0	PASS		
attempt_6fac6fc2f9b2f792841e	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h89_m96	filename	M	10.150	6.41	1.41	362676	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h89_m96.driver.log	7e18388657f880fa37bfb61fba092815f8632e175092476fcfb414944c33a08e	M_b20_cov95v2_HMF_refine_h89_m96	run_id	0	PASS		
attempt_b6d441eab539aa082277	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h89_m97	filename	M	9.060	5.51	1.13	363152	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h89_m97.driver.log	73669305bdb305e653a3798671077972daa872be34430ffa39cd9ba10c92e39e	M_b20_cov95v2_HMF_refine_h89_m97	run_id	0	PASS		
